pos_element	neg_element	POS	pos_key	neg_key	pos_definition	neg_definition	reversed	affixal/non-affixal	negative affix	positive affix	direct/indirect	subtype
armed	armless	a	armed%3:00:03::	armless%3:00:00::	"having arms or arms as specified; used especially in combination"	having no arms	no	affixal	-less	NA	indirect	LAC
artful	artless	a	artful%3:00:00::	artless%3:00:00::	marked by skill in achieving a desired end especially with cunning or craft	"simple and natural; without cunning or deceit"	no	affixal	-less	NA	indirect	LAC
backed	backless	a	backed%3:00:00::	backless%3:00:00::	having a back or backing, usually of a specified type	lacking a back	no	affixal	-less	NA	indirect	LAC
bedded	bedless	a	bedded%3:00:00::	bedless%3:00:00::	having a bed or beds as specified	without a bed	no	affixal	-less	NA	indirect	LAC
bibbed	bibless	a	bibbed%3:00:00::	bibless%3:00:00::	having a bib	lacking a bib	no	affixal	-less	NA	indirect	LAC
bottomed	bottomless	a	bottomed%3:00:00::	bottomless%3:00:00::	having a bottom of a specified character	having no bottom	no	affixal	-less	NA	indirect	LAC
careful	careless	a	careful%3:00:00::	careless%3:00:00::	exercising caution or showing care or attention	"marked by lack of attention or consideration or forethought or thoroughness; not careful"	no	affixal	-less	NA	indirect	LAC
eared	earless	a	eared%3:00:00::	earless%3:00:00::	"having ears (or appendages resembling ears) or having ears of a specified kind; often used in combination"	lacking external ears	no	affixal	-less	NA	indirect	LAC
effortful	effortless	a	effortful%3:00:00::	effortless%3:00:00::	requiring great physical effort	requiring or apparently requiring no effort	no	affixal	-less	NA	indirect	LAC
flowering	flowerless	a	flowering%3:00:00::	flowerless%3:00:00::	having a flower or bloom	without flower or bloom and not producing seeds	no	affixal	-less	NA	indirect	LAC
footed	footless	a	footed%3:00:00::	footless%3:00:00::	having feet	having no feet or analogous appendages	no	affixal	-less	NA	indirect	LAC
forceful	forceless	a	forceful%3:00:00::	forceless%3:00:00::	characterized by or full of force or strength (often but not necessarily physical)	"lacking force; feeble"	no	affixal	-less	NA	indirect	LAC
