pos_element	neg_element	POS	pos_key	neg_key	pos_definition	neg_definition	reversed_ann1	affixal/non-affixal_ann1	negative affix_ann1	positive affix_ann1	direct/indirect_ann1	subtype_ann1	reversed_ann2	affixal/non-affixal_ann2	negative affix_ann2	positive affix_ann2	direct/indirect_ann2	subtype_ann2
a_posteriori	a_priori	a	a_posteriori%3:00:00::	a_priori%3:00:00::	involving reasoning from facts or particulars to general principles or from effects to causes	involving deductive reasoning from a general principle to a necessary effect; not supported by fact	no	non-affixal	_	_	_	_	_	_	_	_	_	_
abaxial	adaxial	a	abaxial%3:00:00::	adaxial%3:00:00::	facing away from the axis of an organ or organism	nearest to or facing toward the axis of an organ or organism	no	non-affixal	_	_	_	_	_	_	_	_	_	_
abducent	adducent	a	abducent%3:00:00::	adducent%3:00:00::	especially of muscles; drawing away from the midline of the body or from an adjacent part	especially of muscles; bringing together or drawing toward the midline of the body or toward an adjacent part	_	_	_	_	_	_	yes	affixal	ab-	_	indirect	ROD
abient	adient	a	abient%3:01:00::	adient%3:01:00::	characterized by avoidance or withdrawal	characterized by acceptance or approach	no	non-affixal	_	_	_	_	_	_	_	_	_	_
able	unable	a	able%3:00:00::	unable%3:00:00::	(usually followed by `to') having the necessary means or skill or know-how or authority to do something	(usually followed by `to') not having the necessary means or skill or know-how	no	affixal	un-	_	direct	_	_	_	_	_	_	_
abridged	unabridged	a	abridged%3:00:00::	unabridged%3:00:00::	(used of texts) shortened by condensing or rewriting	(used of texts) not shortened	_	_	_	_	_	_	no	affixal	un-	_	direct	_
absolute	relative	a	absolute%3:00:00::	relative%3:00:00::	perfect or complete or pure	estimated by comparison; not absolute or complete	_	_	_	_	_	_	no	non-affixal	_	_	_	_
absorbable	adsorbable	a	absorbable%3:00:00::	adsorbable%3:00:00::	capable of being absorbed or taken in through the pores of a surface	capable of being adsorbed or accumulated on a surface of a solid	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
absorbent	nonabsorbent	a	absorbent%3:00:00::	nonabsorbent%3:00:00::	having power or capacity or tendency to absorb or soak up something (liquids or energy etc.)	not capable of absorbing or soaking up (liquids)	_	_	_	_	_	_	no	affixal	non-	_	indirect	OPP
abstemious	gluttonous	a	abstemious%3:00:00::	gluttonous%3:00:00::	sparing in consumption of especially food and drink	given to excess in consumption of especially food or drink	no	non-affixal	_	_	_	_	_	_	_	_	_	_
abstract	concrete	a	abstract%3:00:00::	concrete%3:00:00::	existing only in the mind; separated from embodiment	capable of being perceived by the senses; not abstract or imaginary	no	non-affixal	_	_	_	_	_	_	_	_	_	_
abundant	scarce	a	abundant%3:00:00::	scarce%3:00:00::	present in great quantity	deficient in quantity or number compared with the demand	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
abused	unabused	a	abused%3:00:01::	unabused%3:00:01::	subjected to cruel treatment	not physically abused; treated properly	no	affixal	un-	_	direct	_	_	_	_	_	_	_
acatalectic	catalectic	a	acatalectic%3:00:00::	catalectic%3:00:00::	(verse) metrically complete; especially having the full number of syllables in the final metrical foot	(verse) metrically incomplete; especially lacking one or more syllables in the final metrical foot	_	_	_	_	_	_	no	non-affixal	_	_	_	_
acatalectic	hypercatalectic	a	acatalectic%3:00:00::	hypercatalectic%3:00:00::	(verse) metrically complete; especially having the full number of syllables in the final metrical foot	(verse) having an extra syllable or syllables at the end of a metrically complete verse or in a metrical foot	both	affixal	a-	hyper-	indirect	LAC/OVA	_	_	_	_	_	_
accentual	quantitative	a	accentual%3:00:01::	quantitative%3:00:01::	(of verse) having a metric system based on stress rather than syllables or quantity	(of verse) having a metric system based on relative duration of syllables	_	_	_	_	_	_	no	non-affixal	_	_	_	_
acceptable	unacceptable	a	acceptable%3:00:00::	unacceptable%3:00:00::	worthy of acceptance or satisfactory	not acceptable; not welcome	_	_	_	_	_	_	no	affixal	un-	_	direct	_
acceptive	rejective	a	acceptive%3:00:00::	rejective%3:00:00::	inclined to accept rather than reject	rejecting or tending to reject	no	non-affixal	_	_	_	_	_	_	_	_	_	_
accessible	inaccessible	a	accessible%3:00:00::	inaccessible%3:00:00::	capable of being reached	capable of being reached only with great difficulty or not at all	no	affixal	in-	_	direct	_	no	affixal	in-	_	direct	_
accommodating	unaccommodating	a	accommodating%3:00:00::	unaccommodating%3:00:00::	helpful in bringing about a harmonious adaptation	not accommodating	no	affixal	un-	_	direct	_	no	affixal	un-	_	direct	_
accompanied	unaccompanied	a	accompanied%3:00:01::	unaccompanied%3:00:01::	playing or singing with instrumental or vocal accompaniment	playing or singing without accompaniment	_	_	_	_	_	_	no	affixal	un-	_	direct	_
accordant	discordant	a	accordant%3:00:00::	discordant%3:00:00::	being in agreement or harmony; often followed by `with'	not in agreement or harmony	_	_	_	_	_	_	no	affixal	dis-	_	direct	_
accurate	inaccurate	a	accurate%3:00:00::	inaccurate%3:00:00::	conforming exactly or almost exactly to fact or to a standard or performing with total accuracy	not exact	_	_	_	_	_	_	no	affixal	in-	_	direct	_
accusatorial	inquisitorial	a	accusatorial%3:01:00::	inquisitorial%3:01:00::	specifically indicating a form of prosecution in which one is publicly accused of and tried for a crime and in which the judge is not also the prosecutor	especially indicating a form of prosecution in which proceedings are secret and the accused is questioned by a prosecutor who acts also as the judge	no	non-affixal	_	_	_	_	_	_	_	_	_	_
accustomed	unaccustomed	a	accustomed%3:00:00::	unaccustomed%3:00:00::	(often followed by `to') in the habit of or adapted to	not habituated to; unfamiliar with	_	_	_	_	_	_	no	affixal	un-	_	direct	_
