pos_element	neg_element	POS	pos_key	neg_key	pos_definition	neg_definition	reversed	affixal/non-affixal	negative affix	positive affix	direct/indirect	subtype
diverge	converge	v	diverge%2:42:02::	converge%2:42:00::	have no limits as a mathematical series	be adjacent or come together	yes	affixal	di-	con-	indirect	ROD
germfree	germy	a	germfree%3:00:00::	germy%3:00:00::	free from germs or pathogenic organisms; sterile	full of germs or pathological microorganisms	yes	affixal	-free	-y	indirect	LAC
passionate	passionless	a	passionate%3:00:00::	passionless%3:00:00::	having or expressing strong emotions	not passionate	no	affixal	-less	-ate	indirect	LAC
awned	awnless	a	awned%3:00:00::	awnless%3:00:00::	having awns i.e. bristlelike or hairlike appendages on the flowering parts of some cereals and grasses	lacking or having only very short awns	no	affixal	-less	-ed	indirect	LAC
beaked	beakless	a	beaked%3:00:00::	beakless%3:00:00::	having or resembling a beak	not having a beak or bill	no	affixal	-less	-ed	indirect	LAC
bellied	bellyless	a	bellied%3:00:00::	bellyless%3:00:00::	having a belly; often used in combination	lacking a prominent belly	no	affixal	-less	-ed	indirect	LAC
breasted	breastless	a	breasted%3:00:00::	breastless%3:00:00::	having a breast or breasts; or breasts as specified; used chiefly in compounds	without a breast	no	affixal	-less	-ed	indirect	LAC
ferned	fernless	a	ferned%3:00:00::	fernless%3:00:00::	abounding in or covered with ferns	devoid of ferns	no	affixal	-less	-ed	indirect	LAC
handled	handleless	a	handled%3:00:00::	handleless%3:00:00::	having a usually specified type of handle	having no handle	no	affixal	-less	-ed	indirect	LAC
handed	handless	a	handed%3:00:00::	handless%3:00:00::	having or involving the use of hands	without a hand or hands	no	affixal	-less	-ed	indirect	LAC
horned	hornless	a	horned%3:00:00::	hornless%3:00:00::	having a horn or horns or hornlike parts or horns of a particular kind	having no horns	no	affixal	-less	-ed	indirect	LAC
jawed	jawless	a	jawed%3:00:00::	jawless%3:00:00::	of animals having jaws of a specified type	of animals having no jaw	no	affixal	-less	-ed	indirect	LAC
keyed	keyless	a	keyed%3:00:00::	keyless%3:00:00::	fitted with or secured by a key	lacking or not requiring a key	no	affixal	-less	-ed	indirect	LAC
landed	landless	a	landed%3:00:00::	landless%3:00:00::	owning or consisting of land or real estate	owning no land	no	affixal	-less	-ed	indirect	LAC
legged	legless	a	legged%3:00:00::	legless%3:00:00::	having legs of a specified kind or number	not having legs	no	affixal	-less	-ed	indirect	LAC
lidded	lidless	a	lidded%3:00:00::	lidless%3:00:00::	having or covered with a lid or lids; often used in combination	not having or covered with a lid or lids	no	affixal	-less	-ed	indirect	LAC
limbed	limbless	a	limbed%3:00:00::	limbless%3:00:00::	having or as if having limbs, especially limbs of a specified kind (usually used in combination)	having no limbs	no	affixal	-less	-ed	indirect	LAC
lipped	lipless	a	lipped%3:00:00::	lipless%3:00:00::	having a lip or lips	without a lip or lips	no	affixal	-less	-ed	indirect	LAC
membered	memberless	a	membered%3:00:00::	memberless%3:00:00::	having members; normally used in chemistry in combination with a number	of a group or set having no members	no	affixal	-less	-ed	indirect	LAC
moneyed	moneyless	a	moneyed%3:00:00::	moneyless%3:00:00::	based on or arising from the possession of money or wealth	not based on the possession of money	no	affixal	-less	-ed	indirect	LAC
necked	neckless	a	necked%3:00:00::	neckless%3:00:00::	having a neck or having a neck especially as specified (often used in combination)	lacking or apparently lacking a neck	no	affixal	-less	-ed	indirect	LAC
pointed	pointless	a	pointed%3:00:00::	pointless%3:00:00::	having a point	not having a point especially a sharp point	no	affixal	-less	-ed	indirect	LAC
ribbed	ribless	a	ribbed%3:00:00::	ribless%3:00:00::	furnished or strengthened with ribs	having no ribs or no visible ribs	no	affixal	-less	-ed	indirect	LAC
